index,page_title,campus,block_release_duration,distance_learning_duration,full_time_duration,part_time_duration,block_release_international_fees,distance_learning_international_fees,full_time_international_fees,part_time_international_fees,block_release_uk_fees,distance_learning_uk_fees,full_time_uk_fees,part_time_uk_fees,block_release_url,distance_learning_url,full_time_url,part_time_url,desc_len,description,ai_description,desc_ai_len
142,Global Development MA,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£10,700","£5,350",,,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/global-development-ma,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/global-development-ma,174,"The Global Development MA offers you an interdisciplinary, practical, skill-based training to become an engaged, ethical development thinker and practitioner upon graduation."," The Global Development MA provides a comprehensive, applied learning experience, transforming students into ethically minded development professionals. This interdisciplinary program blends theoretical knowledge with practical skills, ensuring a well-rounded education in global development. By the end of this course, students will be equipped with the tools necessary to make meaningful contributions to the field, becoming active participants in shaping a more equitable world. Key aspects include real-world case studies, collaborative projects, and opportunities for international fieldwork, enhancing your practical understanding of global development issues. Whether you're new to the field or seeking to advance your career, this program offers a unique blend of academic rigor and hands-on experience, setting you up for success in the dynamic world of global development.",275
143,Global Media MA,"Harrow, North-West London",,,1 year,2 years,,,"£17,500","£1,985",,,"£9,700","£1,125",,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/global-media-ma,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/global-media-ma,329,"From Al Jazeera to Hollywood, from Disney to China Central TV, Amazon, Alphabet/Google, Netflix, Alibaba and Tencent, the media increasingly operate in a global context. This course offers a comprehensive interdisciplinary approach to global media, and is designed for those who work in, or want to work in, the media industries."," Titled ""Global Media Perspectives,"" this enriching educational program delves into the intricate world of international media landscapes. From Al Jazeera to Hollywood, and extending to Disney, China Central TV, Amazon, Google, Netflix, Alibaba, and Tencent, this course explores the dynamic global media arena where these titans operate. This interdisciplinary course is tailored for individuals currently employed or aspiring to work within media industries. It equips students with invaluable insights into the complexities of global media markets, empowering them to navigate and succeed in this ever-evolving field.",275
144,Global Public Health Nutrition MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£1,750",,,"£10,700","£1,070",,,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/global-public-health-nutrition-msc,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/global-public-health-nutrition-msc,200,Our Global Public Health Nutrition MSc will give you the specialist scientific knowledge and practical skills to take an active role in global public health nutrition in a range of different settings.," Embark on the Global Public Health Nutrition MSc, a comprehensive course tailored for aspiring professionals aiming to impact global health. This specialized Master's program equips students with advanced scientific knowledge and hands-on skills essential for addressing nutritional challenges worldwide. Engage in diverse practical applications across various settings, fostering your ability to contribute effectively to the field of public health nutrition on a global scale.",275
145,Global Public Health with Data Science MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£10,700","£5,350",,,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/global-public-health-with-data-science-msc,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/global-public-health-with-data-science-msc,362,"The Global Public Health with Data Science MSc is a unique course bringing new insights to public health. As we enter a new era of healthcare, combining global public health with data science can support decision making, advance evidence-based policies and drive strategies in combating diseases by analysing data on omics, health, lifestyle and the environment."," In the evolving landscape of healthcare, the Global Public Health with Data Science MSc offers a distinctive educational path. By merging public health knowledge with data science skills, this course empowers students to make informed decisions, develop evidence-based policies, and strategize against diseases through sophisticated data analysis. The program focuses on analyzing omics, health, lifestyle, and environmental data, thereby providing crucial insights into global public health issues. This cutting-edge program is poised to be a game-changer in the field, leveraging the power of data science for effective disease combatant strategies.",275
146,Global Trade and Business BA Honours,"Marylebone, Central London",,,1 year,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/business-and-management-economics-courses/2025-26/september/full-time/global-trade-and-business-ba-honours,,273,Are there any winners in an international trade war? Are large trade deficits a problem? What are the challenges for businesses that wish to start exporting their products? You’ll tackle these questions and more on our exciting ‘top-up’ degree in Global Trade and Business.," Delve into the intricate world of global commerce with our stimulating 'top-up' degree in Global Trade and Business! This program offers insights into the complexities of international trade wars, shedding light on whether winners truly exist amidst these conflicts. You'll also explore the implications of large trade deficits for both countries and businesses, understanding why they can pose significant challenges. Ever considered expanding your business internationally but unsure about the hurdles? This course equips you with strategies to tackle the obstacles faced by businesses venturing into exports. Join us on this enlightening journey that will empower you to navigate the dynamic landscape of global trade!",275
147,Graphic Design BA Honours,"Harrow, North-West London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/graphic-design-ba-honours,,233,"On this course you’ll learn a broad range of creative, technical and professional skills and use these to respond to industry-standard briefs and collaborative project work – preparing you for life as a professional graphic designer."," This engaging educational course equips students with a diverse skill set, blending creativity, technology, and professionalism. By tackling industry-standard projects and collaborative assignments, learners are effectively prepared for their future roles as accomplished Graphic Designers. The curriculum ensures a comprehensive understanding of design principles, enabling students to craft compelling responses that meet real-world professional demands.",275
148,Graphic Design with Foundation BA Honours,"Harrow, North-West London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/graphic-design-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses equipped with a Foundation year provide a unique platform for prospective students, offering preparatory education tailored for advanced studies. This Foundation year serves as a stepping stone, enabling students to seamlessly transition into a full honours degree program once prepared. This innovative approach ensures that all individuals, regardless of background, have the opportunity to pursue higher education and unlock their academic potential. The University of Westminster's comprehensive and supportive learning environment promises a rewarding educational journey for those seeking to expand their horizons and achieve academic excellence.",275
149,Health Psychology MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£10,700","£5,350",,,https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/health-psychology-msc,https://www.westminster.ac.uk/psychology-courses/2025-26/september/part-time-day/health-psychology-msc,576,"Health psychology plays a key role in improving the health and wellbeing of the population. Our Health Psychology MSc, based in the heart of London, was one of the first Master's in Health Psychology and has been accredited by the British Psychological Society (BPS) since 1999. It includes an innovative portfolio of assessments geared to developing transferable skills, and relating directly to the world of work. Our course also provides the opportunity to gain work experience and apply your knowledge in a health psychology setting, while considering future career plans."," The Health Psychology MSc, situated in London, is a pioneering Master's program accredited by the British Psychological Society since 1999. This course emphasizes the significant role of health psychology in enhancing population health and wellbeing. Unique to this program is its portfolio of innovative assessments designed to cultivate transferable skills relevant to professional settings. The course offers practical work experience, enabling students to apply their learning in real-world health psychology environments while shaping future career paths.",275
150,Health and Wellbeing MSc,"Cavendish, Central London",,,,2 years,,,,"£8,750",,,,"£5,350",,,,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/health-and-wellbeing-msc,244,"Good health and wellbeing are increasingly becoming a focus for governments, policy makers and researchers, as we face diverse and multifaceted challenges in the 21st century, and careers in health and wellbeing are growth areas in our economy."," In the evolving 21st-century landscape, health and wellbeing have emerged as pivotal focal points for governments, policymakers, and researchers due to their integral role in addressing complex, interconnected challenges. Consequently, professions centered around health and wellbeing are burgeoning sectors within our economy. An educational course on this subject offers insights into these dynamic fields, empowering students with the knowledge and skills required to contribute effectively. The curriculum covers a wide range of topics, from preventive healthcare strategies and nutritional science to mental health initiatives and community wellness programs. This comprehensive course equips graduates to tackle the diverse demands of the 21st-century health landscape, making them valuable assets in their respective careers.",275
151,Health and Wellbeing with Professional Experience MSc,"Cavendish, Central London",,,2 years,,,,"£17,500",,,,"£10,700",,,,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/health-and-wellbeing-with-professional-experience-msc,,244,"Good health and wellbeing are increasingly becoming a focus for governments, policy makers and researchers, as we face diverse and multifaceted challenges in the 21st century, and careers in health and wellbeing are growth areas in our economy."," In the dynamic landscape of the 21st century, prioritizing good health and wellbeing has emerged as a critical global concern, with numerous complex challenges arising. This new educational course emphasizes career opportunities within this crucial sector, recognizing its expanding role in our evolving economy. The course content delves into diverse aspects of health and wellbeing, offering valuable insights for those aiming to contribute significantly in this field. By equipping students with essential skills and knowledge, the program empowers them to address a wide range of health-related issues effectively. Whether you aspire to work directly with patients, shape policies, or conduct groundbreaking research, this course provides an ideal platform for launching your career in health and wellbeing, ensuring that you are well-prepared to tackle the diverse challenges of our modern world.",275
152,History BA Honours,"Regent, Central London",,,3 years,5 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/history-courses/2025-26/september/full-time/history-ba-honours,https://www.westminster.ac.uk/history-courses/2025-26/september/part-time-day/history-ba-honours,395,"History remains among the most fascinating and best-loved of the arts and social science disciplines. At Westminster, our focus is on History as a subject that is relevant to everybody. We teach in a truly global framework, listening to previously marginalised voices and questioning long-standing beliefs surrounding power and identity, putting our degree at the cutting edge of the discipline."," In Westminster's History course, we delve into the captivating realm of human past, making history accessible and relevant for everyone. Our innovative teaching approach emphasizes a global perspective, amplifying overlooked voices and challenging conventional power dynamics. This forward-thinking methodology places our History degree at the forefront of the discipline, ensuring students are equipped with insights that question established beliefs about identity and power structures. By fostering a dynamic learning environment, we empower students to engage critically with history, fostering global understanding and promoting an inclusive perspective on our shared human story.",275
153,History and Politics BA Honours,"Regent, Central London",,,3 years,5 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/history-politics-and-international-relations-courses/2025-26/september/full-time/history-and-politics-ba-honours,https://www.westminster.ac.uk/history-politics-and-international-relations-courses/2025-26/september/part-time-day/history-and-politics-ba-honours,427,"History and Politics are deeply complementary disciplines: history (and the writing of history) is entrenched in politics and political frameworks, while contemporary politics and political institutions, organisations and movements can only be fully understood when examined in longer historical patterns. Combining these subjects equips you with the analytical tools to explore and understand societies, both past and present."," In this enlightening course, History and Politics seamlessly intertwine to provide a comprehensive understanding of societal evolution. The study delves into how history is fundamentally interlinked with politics, illustrating that historical events are often shaped by political frameworks and vice versa. By combining these disciplines, students develop exceptional analytical skills, enabling them to scrutinize and comprehend societies, both in their contemporary and historical contexts. This unique approach equips learners with the tools to unravel complexities of political landscapes across time, offering a nuanced perspective on the intricate relationships between the past and the present.",275
154,History with Foundation BA Honours,"Regent, Central London",,,4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/history-courses/2025-26/september/full-time/history-with-foundation-ba-honours,,498,"Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our Foundation year in order to progress onto their full honours degree with us."," The University of Westminster's degree courses featuring a Foundation year cater to students who require additional preparation for advanced studies. This program is tailored for those who aren't quite ready for degree-level work, lack necessary qualifications, seek to shift subject specialisms, or are returning to education after an extended break. By offering a broad and inclusive platform, the Foundation year serves as a stepping stone for students to transition seamlessly into their full honours degree program with us. This unique opportunity fosters academic growth and flexibility, empowering a diverse range of individuals to pursue higher education at the University of Westminster.",275
155,Human Nutrition BSc Honours,"Cavendish, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/human-nutrition-bsc-honours,,143,"On this course, you'll examine how nutrients and eating patterns impact health and well-being, and the role of diet in both health and disease."," Delve into a comprehensive exploration of nutrition and its profound influence on health and vitality! This engaging course focuses on unraveling the intricate relationship between our diets, wellness, and overall life quality. By dissecting the impact of nutrients and eating patterns, you'll gain insights into their role in fostering health as well as contributing to disease development. The journey will empower you with essential knowledge to make informed decisions about your dietary choices and promote optimal health. Embrace this opportunity to transform your understanding of nutrition and its profound effects on our well-being!",275
156,Human Nutrition with Foundation BSc Honours,"Cavendish, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/human-nutrition-with-foundation-bsc-honours,,498,"Our degree courses with foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our foundation year in order to progress onto their full honours degree with us."," The University of Westminster's degree courses with foundation years provide a supportive pathway for individuals seeking to advance their academic journey. Ideal for those who lack readiness, missing qualifications, wish to switch subject areas or resume education after a hiatus, this foundation year serves as a stepping stone towards earning a full honours degree at the university. This comprehensive program is designed to empower a diverse array of students, fostering an inclusive learning environment that promotes progression onto their chosen full honours degree.",275
157,Human Resource Management MA,"Marylebone, Central London",,,1 year,2 years,,,"£14,500","£7,000",,,"£11,700","£5,750",,,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/human-resource-management-ma,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/part-time-evening-only/human-resource-management-ma,329,"In a turbulent, rapidly changing business environment, the demand for HR professionals who can strategically manage and develop staff potential – while overcoming issues such as redundancy, flexible working and the recent challenges of furloughed staff and social distancing – has never been more fundamental to business success."," In the dynamic modern business landscape, a strategic HR course is pivotal, addressing the pressing need for professionals capable of tactfully managing and nurturing human capital. This includes navigating complex issues such as workforce redundancies, flexible working arrangements, and contemporary challenges like managing furloughed staff and maintaining social distancing. The aim of this educational program is to equip HR practitioners with the necessary skills to contribute significantly to a company's success by harnessing their employees' potential amidst turbulent conditions. This course offers a unique blend of practical insights and theoretical knowledge, ensuring that HR professionals are well-prepared for the evolving business environment.",275
158,Illustration BA Honours,"Harrow, North-West London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/illustration-ba-honours,,158,On our Illustration BA you’ll find your distinctive creative voice and gain the skills you need to transform your passion for design into a successful career.," In the Illustration BA program, students embark on a transformative journey, honing their unique creative voices while acquiring essential skills to turn their design passions into thriving careers. This comprehensive course equips learners with the tools necessary to excel in the dynamic world of illustration, focusing on key areas such as digital art, traditional media, and concept development. The program offers a well-rounded educational experience that combines practical techniques with theoretical insights, enabling students to tackle real-world challenges with confidence. Whether you aspire to work in publishing, animation, gaming, or advertising, this BA program provides a solid foundation for success in the illustration industry.",275
159,Illustration with Foundation BA Honours,"Harrow, North-West London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/illustration-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster offers degree courses equipped with a Foundation year, providing a solid preparation ground for students venturing into advanced studies. This unique structure allows learners to seamlessly transition into a full honours degree upon successful completion. By enrolling in this program, students gain a well-rounded education that sets them on a path towards academic success and career advancement. These courses are meticulously designed to nurture critical thinking skills, foster intellectual curiosity, and promote a global perspective, all within an engaging and supportive academic environment. Whether you're just starting your educational journey or looking to expand your horizons, the University of Westminster's degree courses with Foundation year offer an unparalleled opportunity for growth and development.",275
160,Interactive Media Practice MA,"Harrow, North-West London",,,1 year,2 years,,,"£17,500","£1,985",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/art-design-and-visual-culture-computer-science-and-engineering-media-and-communication-courses/2025-26/september/full-time/interactive-media-practice-ma,https://www.westminster.ac.uk/art-design-and-visual-culture-computer-science-and-engineering-media-and-communication-courses/2025-26/september/part-time-day/interactive-media-practice-ma,249,"This exciting multidisciplinary Master's course is fully designed to reflect the needs of contemporary interactive media industries, bringing together creative technologies, interactivity, design practices and entrepreneurship with the user in mind."," This innovative Master's program seamlessly blends creative technologies, interactivity, design principles, and entrepreneurial strategies, all centered around user experience. The course is meticulously tailored to meet the dynamic demands of today's interactive media industries, offering a unique multidisciplinary approach that prepares students for success in this rapidly evolving field.",275
161,Interior Architecture BA Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/interior-architecture-ba-honours,,236,"Interior architecture is a distinct and separate discipline to architecture. Its specific focus is the creation of innovative and exciting interior spaces, primarily through the adaptation and spatial manipulation of existing buildings."," This educational course delves into the captivating field of Interior Architecture, setting it apart from traditional Architecture. The course emphasizes the art of transforming pre-existing structures into inventive and alluring indoor environments. It centers around the strategic spatial reconfiguration and design of interiors, offering a unique blend of creativity and practicality. Students can expect to explore cutting-edge concepts in this specialized discipline, enhancing their ability to craft engaging interior spaces that delight and inspire. Whether you're an aspiring designer or a seasoned professional seeking to expand your skillset, this course promises a rich learning experience that will empower you to make a lasting impact on the world of interior design.",275
162,Interior Architecture MA,"Marylebone, Central London",,,1 year,2 years,,,"£17,500","£1,985",,,"£9,700","£1,125",,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/interior-architecture-ma,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day-evening/interior-architecture-ma,536,"Our Interior Architecture MA promotes a speculative approach to spatial design that is rooted in theory and the world of ideas. Those ideas, however, are deployed to confront contemporary questions and challenges. This MA course, therefore, is both conceptual and pragmatic; experimental and rigorous. With a special focus on people and place, the course will encourage you to develop a deep sympathy for the needs and aspirations of the users of a space, as well as a sensitivity towards (and response to) physical and social contexts."," The Interior Architecture MA program delves into a speculative, theory-driven approach to spatial design, tackling contemporary issues and challenges head-on. This course merges conceptual thinking with practical application, fostering experimentation within a rigorous framework. With an emphasis on human-centric design, students will cultivate empathy for space users' needs and aspirations, while also learning to respond sensitively to physical and social contexts. By the end of this program, graduates will be equipped with the skills to create spaces that not only look good but also cater to the requirements of diverse user groups within a broader societal context.",275
163,Interior Architecture with Foundation BA Honours,"Marylebone, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/interior-architecture-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," This University of Westminster's degree course equipped with a Foundation year provides an exceptional platform for prospective students, enabling them to seamlessly transition into advanced degree studies. The Foundation year serves as a preparatory phase, fostering academic and professional skills essential for undergraduate success. Upon completion, students can confidently proceed towards earning their full honours degree at the esteemed University of Westminster. This unique offering not only ensures academic readiness but also provides a solid foundation for future career advancement.",275
164,International Business BA Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-business-ba-honours,,412,"Globalisation has enabled companies to become better connected, able to target international customers, develop a worldwide supply chain and attract a multicultural workforce. Our degree will prepare you to respond proactively and creatively to the opportunities and risks presented by international business and the challenges of the global business environment – from cultural, legal and economic perspectives."," This innovative degree program equips students with the skills needed to thrive in today's interconnected business world. With a focus on international business, it prepares learners to navigate the intricacies of global markets, target diverse customer bases, manage worldwide supply chains, and collaborate effectively within multicultural workforces. The curriculum emphasizes proactive and creative responses to the unique opportunities and risks that come with operating in an international context, offering insights into various cultural, legal, and economic landscapes. This degree is designed for those seeking to make a significant impact on the global stage, fostering the next generation of leaders in international business.",275
165,International Business and Management MSc,"Marylebone, Central London",,,1 year,,,,"£17,500",,,,"£16,700",,,,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-business-and-management-msc,,135,The MSc International Business and Management course allows learners to dive into global business right in the heart of vibrant London.," Embark on an exhilarating journey into the world of international business with the MSc International Business and Management course, conveniently situated in the dynamic city of London. This program offers a unique opportunity to delve deep into the intricacies of global commerce, providing students with a comprehensive understanding of various business sectors and management strategies. With a blend of theoretical knowledge and practical application, this course equips learners with the essential skills needed to navigate the complexities of today's global marketplace. The vibrant city setting offers countless networking opportunities, ensuring you graduate not just educated, but also connected in the world of business. Whether your aspirations lie in entrepreneurship, strategic management, or international trade, this course provides a solid foundation for a successful career in the global business arena.",275
166,International Commercial and Corporate Law LLM,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£12,700","£6,350",,,https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-commercial-and-corporate-law-llm,https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/international-commercial-and-corporate-law-llm,417,"The International Commercial and Corporate Law LLM balances the best of a rigorous, traditional legal education with a contemporary perspective. Our areas of specialisation address today’s most important business and legal challenges, including the study of commercial relationships in the international arena, the role and impact of electronic commerce, and the gradual harmonisation of international commercial law."," The International Commercial and Corporate Law LLM program blends traditional legal rigor with a modern outlook, focusing on contemporary business and legal issues. Key areas of specialization encompass global commercial relations, electronic commerce's role, and the progressive harmonization of international commercial law. This program equips students to navigate the intricacies of international business transactions while staying attuned to the evolving digital landscape in commerce.",275
167,International Communication,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£9,700","£4,850",,,https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/international-communication-liaison-and-advocacy-ma,https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/international-communication-liaison-and-advocacy-ma,695,"Our International Communication, Liaison and Advocacy MA is a dynamic, pioneering interdisciplinary course, which meets the demand for greater professionalism in interpersonal and inter-institutional bilingual communication in an international arena. We focus on enhancing your skills as a communicator and facilitator of communication. This can be as an advocate, as a mediator, communication strategist, intermediary or communication facilitator. Grounded in the latest international communications theories and using real-life simulations, you'll learn to locate and analyse resources, pre-empt communications challenges and develop strategies to overcome obstacles to successful interaction."," In this innovative, interdisciplinary Master's program, International Communication, Liaison, and Advocacy, students delve into the art of effective bilingual communication in a global context. The course prioritizes honing skills as communicators and facilitators, preparing graduates for roles ranging from advocates to communication strategists. With an emphasis on cutting-edge international communications theories, practical exercises simulate real-world scenarios, empowering learners to anticipate challenges, analyze resources, and devise strategies to surmount barriers in multifaceted interactions. This program equips students with the tools to excel as influential communicators in today's interconnected world.",275
168,International Development Management MSc,"Marylebone, Central London",,,1 year,,,,"£13,500",,,,"£11,700",,,,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-development-management-msc,,324,"With momentum around the United Nation’s (UN) sustainable development goals and the rise of a collaborative effort to reduce or eliminate poverty in developing countries, never has there been a more exciting time to get involved with international development. Our course prepares you to make a positive impact on the world."," Embrace the thrill of contributing to global change as we delve into an enlightening course focused on International Development, aligned with the United Nation's sustainable goals. This engaging program equips you with the knowledge and skills needed to significantly reduce or eradicate poverty in developing nations. Immerse yourself in a dynamic learning environment designed to foster collaboration, innovation, and a shared commitment to positive global transformation. Whether you aspire to be an agent of change within international organizations, NGOs, or grassroots initiatives, this course provides the perfect launchpad for making a tangible difference worldwide. Seize this opportunity to join the movement towards a sustainable and equitable future.",275
169,International Human Resource Management MA,"Marylebone, Central London",,,1 year,,,,"£14,500",,,,"£11,700",,,,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-human-resource-management-ma,,531,"Accredited by the Chartered Institute of Personnel Development (CIPD), this specialist course focuses on international human resource management (HRM). As globalisation encourages companies to operate and trade in multiple locations, and provides more opportunities for staff to work abroad, managing and developing people has never been more critical – or complex. On our MA, you’ll learn to appreciate the unique challenges of international HRM – from the cultural, legal and economic differences to remote relationship building."," In this Master's degree accredited by the Chartered Institute of Personnel Development (CIPD), students delve into the specialized field of International Human Resource Management (HRM). As globalization fosters cross-border business operations and employment opportunities, mastering people management in diverse contexts has become both essential and intricate. This program equips learners to navigate the complexities of international HRM, addressing cultural, legal, and economic disparities, as well as remote team collaboration.",275
170,International Law LLM,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£12,700","£6,350",,,https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-law-llm,https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/international-law-llm,662,"With globalisation, international law is becoming increasingly important, and our International Law LLM prepares you for a future career in the international arena. Our teaching team is composed of world-renowned scholars who are leading the way in their respective subjects, including – but not limited to – international human rights law, the law of armed conflict, development law, energy and climate change law, international cyber security law, refugee law, the law of the sea, international courts and tribunals. In previous years, our teaching team organised study visits to international organisations and to international courts in London and The Hague."," Embark on a transformative journey with our International Law LLM, tailored for those aiming to excel in the global legal landscape. Led by distinguished scholars pioneering various fields, such as human rights, armed conflict, development, energy, climate change, cybersecurity, refugee law, maritime law, and international courts, this program equips you with comprehensive knowledge. Previous students have benefited from study visits to renowned international organizations and courts in London and The Hague, offering hands-on experience in the international arena. This course is your passport to a dynamic career in international law.",275
171,International Marketing BA Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/business-and-management-marketing-courses/2025-26/september/full-time/international-marketing-ba-honours,,349,"Internationalisation and evolution of markets have created opportunities for companies to focus on marketing from a global perspective. On our degree, you’ll explore the complexity and diversity facing marketers in the highly competitive and continually evolving world marketplace, incorporating the latest marketing strategy, tools, and techniques."," This cutting-edge degree delves into the intricate global landscape of modern marketing, acknowledging the dynamic shifts and diverse challenges that characterize today's competitive, ever-changing international marketplace. Students will be equipped with up-to-date marketing strategies, innovative tools, and advanced techniques to navigate this dynamic world. By focusing on a global perspective, this program offers an invaluable understanding of the intricacies of marketing across various cultures and territories, empowering you to strategize effectively in a diverse range of contexts. Embark on this journey to master the art of global marketing, preparing yourself for success in today's interconnected world marketplace.",275
172,International Media Business MA,"Harrow, North-West London",,,1 year,,,,"£17,500",,,,"£9,700",,,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/international-media-business-ma,,248,The course is designed for recent graduates seeking a career in traditional and new media organisations. It provides a combination of business and media skills designed to equip you to take up an entry-level position in today’s media organisations.," This innovative educational course, tailored for fresh graduates, offers a unique blend of business and media competencies. Designed to launch careers within traditional and modern media establishments, it equips participants with the essential skills required for entry-level roles in today's dynamic media landscape. The curriculum encompasses a wide range of topics, including strategic communication, digital content creation, journalism, data analysis, and marketing, ensuring a comprehensive understanding of the media industry's intricacies. Furthermore, practical workshops and real-world case studies enhance students' abilities to apply learned concepts in real-life scenarios. By combining theoretical knowledge with hands-on experience, this course empowers recent graduates to excel in today's competitive media marketplace.",275
173,International Planning and Sustainable Development MA,"Marylebone, Central London",,,1 year,2 years,,,"£15,500","£1,785",,,"£9,700","£1,125",,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/international-planning-and-sustainable-development-ma,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day-evening/international-planning-and-sustainable-development-ma,542,"This course is aimed at built environment professionals and others with a relevant social or physical science background who wish to gain an in-depth understanding of planning and sustainable development, whether to improve career prospects in their country or enter international practice. Through the course you'll examine the growing problems of sustainable development facing cities, regions and communities in a rapidly urbanising world, subject to growing climate change and other environmental, economic and social pressures and risks."," This innovative educational course caters to built environment professionals and those with a related social or physical science background, offering an immersive exploration into planning and sustainable development. The curriculum is designed to equip learners with the skills needed for career advancement, whether in their native country or in international practice. By delving into the escalating challenges of sustainable development confronted by urbanizing cities, regions, and communities under the looming threats of climate change and various environmental, economic, and social pressures and risks, students will gain a comprehensive understanding of these critical issues. This course is an excellent opportunity for those seeking to make a tangible impact on the future of our global environment.",275
