conversations
"[{'content': 'Does the University of Westminster offer a course on AI, Data and Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on AI, Data and Communication MA:\nCourse title: AI, Data and Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting BSc Honours:\nCourse title: Accounting BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Global Media MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Global Media MA:\nCourse title: Global Media MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/global-media-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/global-media-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Global Public Health Nutrition MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Global Public Health Nutrition MSc:\nCourse title: Global Public Health Nutrition MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/global-public-health-nutrition-msc\nFor Part-time course:\nUK fees: £1,070.\ninternational fees: £1,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/global-public-health-nutrition-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Global Public Health with Data Science MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Global Public Health with Data Science MSc:\nCourse title: Global Public Health with Data Science MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/global-public-health-with-data-science-msc\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/global-public-health-with-data-science-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Global Trade and Business BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Global Trade and Business BA Honours:\nCourse title: Global Trade and Business BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-economics-courses/2025-26/september/full-time/global-trade-and-business-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Graphic Design BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Graphic Design BA Honours:\nCourse title: Graphic Design BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/graphic-design-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Graphic Design with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Graphic Design with Foundation BA Honours:\nCourse title: Graphic Design with Foundation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/graphic-design-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Health Psychology MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Health Psychology MSc:\nCourse title: Health Psychology MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/health-psychology-msc\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/part-time-day/health-psychology-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Health and Wellbeing MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Health and Wellbeing MSc:\nCourse title: Health and Wellbeing MSc.\nCampus: Cavendish, Central London.\n\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/health-and-wellbeing-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Health and Wellbeing with Professional Experience MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Health and Wellbeing with Professional Experience MSc:\nCourse title: Health and Wellbeing with Professional Experience MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/health-and-wellbeing-with-professional-experience-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on History BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on History BA Honours:\nCourse title: History BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/history-courses/2025-26/september/full-time/history-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/history-courses/2025-26/september/part-time-day/history-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on History and Politics BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on History and Politics BA Honours:\nCourse title: History and Politics BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/history-politics-and-international-relations-courses/2025-26/september/full-time/history-and-politics-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/history-politics-and-international-relations-courses/2025-26/september/part-time-day/history-and-politics-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on History with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on History with Foundation BA Honours:\nCourse title: History with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/history-courses/2025-26/september/full-time/history-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Human Nutrition BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Human Nutrition BSc Honours:\nCourse title: Human Nutrition BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/human-nutrition-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Human Nutrition with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Human Nutrition with Foundation BSc Honours:\nCourse title: Human Nutrition with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/human-nutrition-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Human Resource Management MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Human Resource Management MA:\nCourse title: Human Resource Management MA.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £14,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/human-resource-management-ma\nFor Part-time course:\nUK fees: £5,750.\ninternational fees: £7,000.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/part-time-evening-only/human-resource-management-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Illustration BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Illustration BA Honours:\nCourse title: Illustration BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/illustration-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Illustration with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Illustration with Foundation BA Honours:\nCourse title: Illustration with Foundation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-media-and-communication-courses/2025-26/september/full-time/illustration-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Interactive Media Practice MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Interactive Media Practice MA:\nCourse title: Interactive Media Practice MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-computer-science-and-engineering-media-and-communication-courses/2025-26/september/full-time/interactive-media-practice-ma\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-computer-science-and-engineering-media-and-communication-courses/2025-26/september/part-time-day/interactive-media-practice-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Interior Architecture BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Interior Architecture BA Honours:\nCourse title: Interior Architecture BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/interior-architecture-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Interior Architecture MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Interior Architecture MA:\nCourse title: Interior Architecture MA.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/interior-architecture-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day-evening/interior-architecture-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Interior Architecture with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Interior Architecture with Foundation BA Honours:\nCourse title: Interior Architecture with Foundation BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/interior-architecture-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Business BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Business BA Honours:\nCourse title: International Business BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-business-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Business and Management MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Business and Management MSc:\nCourse title: International Business and Management MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£16,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-business-and-management-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Commercial and Corporate Law LLM?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Commercial and Corporate Law LLM:\nCourse title: International Commercial and Corporate Law LLM.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£12,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-commercial-and-corporate-law-llm\nFor Part-time course:\nUK fees: £6,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/international-commercial-and-corporate-law-llm ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Communication?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Communication:\nCourse title: International Communication.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/international-communication-liaison-and-advocacy-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/international-communication-liaison-and-advocacy-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Development Management MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Development Management MSc:\nCourse title: International Development Management MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £13,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-development-management-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Human Resource Management MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Human Resource Management MA:\nCourse title: International Human Resource Management MA.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £14,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/international-human-resource-management-ma', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Law LLM?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Law LLM:\nCourse title: International Law LLM.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£12,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-law-llm\nFor Part-time course:\nUK fees: £6,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/international-law-llm ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Marketing BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Marketing BA Honours:\nCourse title: International Marketing BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-marketing-courses/2025-26/september/full-time/international-marketing-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Media Business MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Media Business MA:\nCourse title: International Media Business MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/international-media-business-ma', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Planning and Sustainable Development MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Planning and Sustainable Development MA:\nCourse title: International Planning and Sustainable Development MA.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/international-planning-and-sustainable-development-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day-evening/international-planning-and-sustainable-development-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Relations BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Relations BA Honours:\nCourse title: International Relations BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Relations MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Relations MA:\nCourse title: International Relations MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-ma\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/international-relations-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Relations and Democratic Politics MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Relations and Democratic Politics MA:\nCourse title: International Relations and Democratic Politics MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-and-democratic-politics-ma\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/international-relations-and-democratic-politics-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Relations and Development BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Relations and Development BA Honours:\nCourse title: International Relations and Development BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-and-development-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Relations and Development with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Relations and Development with Foundation BA Honours:\nCourse title: International Relations and Development with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-and-development-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Relations and Security MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Relations and Security MA:\nCourse title: International Relations and Security MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-and-security-ma\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/international-relations-and-security-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International Relations with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International Relations with Foundation BA Honours:\nCourse title: International Relations with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on International and Commercial Dispute Resolution Law LLM?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on International and Commercial Dispute Resolution Law LLM:\nCourse title: International and Commercial Dispute Resolution Law LLM.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£12,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/international-and-commercial-dispute-resolution-law-llm\nFor Part-time course:\nUK fees: £6,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/international-and-commercial-dispute-resolution-law-llm ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Investment and Risk Finance MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Investment and Risk Finance MSc:\nCourse title: Investment and Risk Finance MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£14,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/investment-and-risk-finance-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Languages and Translation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Languages and Translation BA Honours:\nCourse title: Languages and Translation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/languages-and-translation-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/languages-and-translation-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Languages and Translation with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Languages and Translation with Foundation BA Honours:\nCourse title: Languages and Translation with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/languages-and-translation-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Law LLB Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Law LLB Honours:\nCourse title: Law LLB Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/law-llb-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/law-llb-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Law and Criminal Justice LLB?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Law and Criminal Justice LLB:\nCourse title: Law and Criminal Justice LLB.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/law-and-criminal-justice-llb', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Law and International Relations LLB?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Law and International Relations LLB:\nCourse title: Law and International Relations LLB.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-politics-and-international-relations-courses/2025-26/september/full-time/law-and-international-relations-llb', 'role': 'assistant'}]"
